,sepal_length,sepal_width,petal_length,petal_width,sepal_length_scaled,sepal_width_scaled,petal_length_scaled,petal_width_scaled,PCA3_0,PCA3_1,PCA3_2,species
33,5.5,4.2,1.4,0.2,0.33333333333333326,0.9166666666666667,0.05172413793103445,0.04166666666666667,-0.6538160245530954,0.41202130118342234,0.010662281889562582,setosa
0,5.1,3.5,1.4,0.2,0.2222222222222221,0.625,0.05172413793103445,0.04166666666666667,-0.6542156475644834,0.10202510629838436,-0.010565072066154872,setosa
146,6.3,2.5,5.0,1.9,0.5555555555555556,0.20833333333333326,0.6724137931034482,0.75,0.39269370279938004,-0.16539337732641296,-0.015887224737482924,virginica
62,6.0,2.2,4.0,1.0,0.4722222222222223,0.08333333333333337,0.49999999999999994,0.375,0.02636330652107196,-0.302904353385461,-0.21119524628219818,versicolor
134,6.1,2.6,5.6,1.4,0.4999999999999998,0.25,0.7758620689655171,0.5416666666666667,0.29243927471195813,-0.16026765406241444,-0.09393046783048789,virginica
144,6.7,3.3,5.7,2.5,0.6666666666666667,0.5416666666666665,0.7931034482758621,1.0,0.6247421023776543,0.17410368665230197,0.16059329694030328,virginica
55,5.7,2.8,4.5,1.3,0.38888888888888884,0.33333333333333326,0.586206896551724,0.5000000000000001,0.08940532833976268,-0.12158347293960788,0.0037705652011876434,versicolor
4,5.0,3.6,1.4,0.2,0.19444444444444442,0.6666666666666667,0.05172413793103445,0.04166666666666667,-0.6718599664788921,0.12707261802831965,0.023821553290056138,setosa
111,6.4,2.7,5.3,1.9,0.5833333333333335,0.29166666666666674,0.7241379310344827,0.75,0.423398775479145,-0.0821643843297074,-0.01078312069181429,virginica
10,5.4,3.7,1.5,0.2,0.3055555555555556,0.7083333333333333,0.06896551724137928,0.04166666666666667,-0.6224482526496221,0.21213337273434824,-0.04282542425638151,setosa
131,7.9,3.8,6.4,2.0,1.0,0.7499999999999998,0.9137931034482758,0.7916666666666667,0.6674053514089343,0.49858060581953384,-0.14032134817513142,virginica
15,5.7,4.4,1.5,0.4,0.38888888888888884,1.0,0.06896551724137928,0.125,-0.57901484034094,0.5100853014946044,0.048258586058664094,setosa
78,6.0,2.9,4.5,1.5,0.4722222222222223,0.375,0.586206896551724,0.5833333333333334,0.17111746027367047,-0.047369494254685354,0.008250654399563117,versicolor
88,5.6,3.0,4.1,1.3,0.36111111111111094,0.41666666666666674,0.5172413793103448,0.5000000000000001,0.022447738050524284,-0.054456342449081915,0.05767281895211745,versicolor
5,5.4,3.9,1.7,0.4,0.3055555555555556,0.7916666666666665,0.10344827586206895,0.125,-0.5594427618652194,0.2845155897099473,0.033405746534100306,setosa
67,5.8,2.7,4.1,1.0,0.4166666666666665,0.29166666666666674,0.5172413793103448,0.375,-0.01733131992770208,-0.14213784499159932,-0.10039044539692606,versicolor
7,5.0,3.4,1.5,0.2,0.19444444444444442,0.5833333333333333,0.06896551724137928,0.04166666666666667,-0.6483670220778273,0.051295811232866154,-0.0063168308009856665,setosa
148,6.2,3.4,5.4,2.3,0.5277777777777779,0.5833333333333333,0.7413793103448276,0.9166666666666666,0.47554121903696,0.15357720173827627,0.22869768961080497,virginica
132,6.4,2.8,5.6,2.2,0.5833333333333335,0.33333333333333326,0.7758620689655171,0.8750000000000001,0.5306665848641579,-0.04817037555808678,0.07469566178835187,virginica
138,6.0,3.0,4.8,1.8,0.4722222222222223,0.41666666666666674,0.6379310344827585,0.7083333333333334,0.27838526965868327,-0.013375485483064536,0.09372943687972927,virginica
85,6.0,3.4,4.5,1.6,0.4722222222222223,0.5833333333333333,0.586206896551724,0.6250000000000001,0.16636768805639854,0.13917773772034542,0.10537259759140244,versicolor
18,5.7,3.8,1.7,0.3,0.38888888888888884,0.7499999999999998,0.10344827586206895,0.08333333333333333,-0.5464185391341511,0.28385343096633353,-0.06583816475692378,setosa
49,5.0,3.3,1.4,0.2,0.19444444444444442,0.5416666666666665,0.05172413793103445,0.04166666666666667,-0.6527206066662793,0.015203642990652565,-0.019480407268278935,setosa
149,5.9,3.0,5.1,1.8,0.44444444444444464,0.41666666666666674,0.6896551724137929,0.7083333333333334,0.29932085092644783,-0.029210102410044597,0.10987084422670666,virginica
83,6.0,2.7,5.1,1.6,0.4722222222222223,0.29166666666666674,0.6896551724137929,0.6250000000000001,0.27542642144176643,-0.1290348113229298,-0.0032877726909562722,versicolor
90,5.5,2.6,4.4,1.2,0.33333333333333326,0.25,0.5689655172413792,0.4583333333333333,0.041753304931356545,-0.2195485330052039,-0.008873730039966261,versicolor
44,5.1,3.8,1.9,0.4,0.2222222222222221,0.7499999999999998,0.13793103448275856,0.125,-0.5653898298063158,0.2081045113088459,0.07628885442065,setosa
86,6.7,3.1,4.7,1.5,0.6666666666666667,0.45833333333333326,0.6206896551724137,0.5833333333333334,0.2586763556220059,0.11050986854141814,-0.10509066218987931,versicolor
104,6.5,3.0,5.8,2.2,0.6111111111111112,0.41666666666666674,0.8103448275862069,0.8750000000000001,0.5506382863512665,0.03625610754229413,0.08107017621950575,virginica
70,5.9,3.2,4.8,1.8,0.44444444444444464,0.5,0.6379310344827585,0.7083333333333334,0.2543611641400703,0.048961684592759576,0.14255004908871852,versicolor
56,6.3,3.3,4.7,1.6,0.5555555555555556,0.5416666666666665,0.6206896551724137,0.6250000000000001,0.22800781397652892,0.13621953901496686,0.028539874457355896,versicolor
72,6.3,2.5,4.9,1.5,0.5555555555555556,0.20833333333333326,0.6551724137931034,0.5833333333333334,0.27336368839172637,-0.16459164820508168,-0.11442485006378858,versicolor
41,4.5,2.3,1.3,0.3,0.05555555555555558,0.12499999999999989,0.03448275862068964,0.08333333333333333,-0.628829612564166,-0.4176072431987445,-0.037834663965465976,setosa
16,5.4,3.9,1.3,0.4,0.3055555555555556,0.7916666666666665,0.03448275862068964,0.125,-0.6023762466358447,0.28930555012464904,0.03848738807604063,setosa
45,4.8,3.0,1.4,0.3,0.13888888888888884,0.41666666666666674,0.05172413793103445,0.08333333333333333,-0.6289611506703261,-0.12105068503333567,0.0020749181081992332,setosa
84,5.4,3.0,4.5,1.5,0.3055555555555556,0.41666666666666674,0.586206896551724,0.5833333333333334,0.09715047980823939,-0.08353271560451908,0.14240047227293773,versicolor
89,5.5,2.5,4.0,1.3,0.33333333333333326,0.20833333333333326,0.49999999999999994,0.5000000000000001,0.032348767568684884,-0.2519492906908052,0.006725933577143478,versicolor
31,5.4,3.4,1.5,0.4,0.3055555555555556,0.5833333333333333,0.06896551724137928,0.125,-0.5490105712295107,0.1004622781878534,-0.03622336695882114,setosa
101,5.8,2.7,5.1,1.9,0.4166666666666665,0.29166666666666674,0.6896551724137929,0.75,0.3343448392326054,-0.15322228381807937,0.11147353109975229,virginica
95,5.7,3.0,4.2,1.2,0.38888888888888884,0.41666666666666674,0.5344827586206897,0.4583333333333333,0.017296480749635804,-0.04351062618238956,0.011497761135251812,versicolor
137,6.4,3.1,5.5,1.8,0.5833333333333335,0.45833333333333326,0.7586206896551724,0.7083333333333334,0.39219721064389135,0.0645003286009114,0.019459997020381137,virginica
142,5.8,2.7,5.1,1.9,0.4166666666666665,0.29166666666666674,0.6896551724137929,0.75,0.3343448392326054,-0.15322228381807937,0.11147353109975229,virginica
96,5.7,2.9,4.2,1.3,0.38888888888888884,0.375,0.5344827586206897,0.5000000000000001,0.0508254281575895,-0.08070134428269254,0.022015783210421223,versicolor
13,4.3,3.0,1.1,0.1,0.0,0.41666666666666674,0.0,0.0,-0.7717822474068161,-0.17886682829325037,0.055745323925922616,setosa
87,6.3,2.3,4.4,1.3,0.5555555555555556,0.12499999999999989,0.5689655172413792,0.5000000000000001,0.1781580840293545,-0.2333813948696545,-0.18684478969781518,versicolor
119,6.0,2.2,5.0,1.5,0.4722222222222223,0.08333333333333337,0.6724137931034482,0.5833333333333334,0.26944282246638207,-0.3143845531942852,-0.09913930549731056,virginica
28,5.2,3.4,1.4,0.2,0.25,0.5833333333333333,0.05172413793103445,0.04166666666666667,-0.6365713286500746,0.07697759456844919,-0.044951697422365995,setosa
46,5.1,3.8,1.6,0.2,0.2222222222222221,0.7499999999999998,0.08620689655172414,0.04166666666666667,-0.6518882649917834,0.21149910112870016,0.03019606772120986,setosa
139,6.9,3.1,5.4,2.1,0.7222222222222223,0.45833333333333326,0.7413793103448276,0.8333333333333335,0.5192339834135055,0.12720537252111386,-0.004176758327454136,virginica
106,4.9,2.5,4.5,1.7,0.16666666666666674,0.20833333333333326,0.586206896551724,0.6666666666666667,0.12702507288573714,-0.33099385992256086,0.21989774838210488,virginica
60,5.0,2.0,3.5,1.0,0.19444444444444442,0.0,0.41379310344827586,0.375,-0.12718929933584588,-0.49391768571839967,-0.034184783026002384,versicolor
71,6.1,2.8,4.0,1.3,0.4999999999999998,0.33333333333333326,0.49999999999999994,0.5000000000000001,0.08079660161729882,-0.0666274359574156,-0.06968793688511762,versicolor
121,5.6,2.8,4.9,2.0,0.36111111111111094,0.33333333333333326,0.6551724137931034,0.7916666666666667,0.311118406426429,-0.13792299825116125,0.19330562465831386,virginica
14,5.8,4.0,1.2,0.2,0.4166666666666665,0.8333333333333333,0.017241379310344807,0.04166666666666667,-0.6287295967993861,0.3765634045468565,-0.07552278655532194,setosa
81,5.5,2.4,3.7,1.0,0.33333333333333326,0.16666666666666663,0.44827586206896547,0.375,-0.07491904181632798,-0.28594329946242586,-0.07875284890302271,versicolor
107,7.3,2.9,6.3,1.8,0.833333333333333,0.375,0.8965517241379308,0.7083333333333334,0.5922045441853905,0.09052041062331394,-0.19914500629995008,virginica
115,6.4,3.2,5.3,2.3,0.5833333333333335,0.5,0.7241379310344827,0.9166666666666666,0.500096485673121,0.10467966838208148,0.16119484928386804,virginica
129,7.2,3.0,5.8,1.6,0.8055555555555556,0.41666666666666674,0.8103448275862069,0.6250000000000001,0.46659504770020166,0.12135749238045446,-0.20831034687220912,virginica
65,6.7,3.1,4.4,1.4,0.6666666666666667,0.45833333333333326,0.5689655172413792,0.5416666666666667,0.19932708124028758,0.11400339860685842,-0.12623143996137173,versicolor
12,4.8,3.0,1.4,0.1,0.13888888888888884,0.41666666666666674,0.05172413793103445,0.0,-0.6832594722778248,-0.12124856552450775,-0.04782909974769613,setosa
19,5.1,3.8,1.5,0.3,0.2222222222222221,0.7499999999999998,0.06896551724137928,0.08333333333333333,-0.6354724753806905,0.21279553147796165,0.05641848703464261,setosa
2,4.7,3.2,1.3,0.2,0.11111111111111116,0.5,0.03448275862068964,0.04166666666666667,-0.6908677881853448,-0.057614965099422155,0.027213931774725916,setosa
3,4.6,3.1,1.5,0.2,0.08333333333333326,0.45833333333333326,0.06896551724137928,0.04166666666666667,-0.6742857915060323,-0.10954175026861591,0.0301917626544102,setosa
136,6.3,3.4,5.6,2.4,0.5555555555555556,0.5833333333333333,0.7758620689655171,0.9583333333333334,0.5354216545362264,0.1635233083924652,0.23115623926434994,virginica
75,6.6,3.0,4.4,1.4,0.6388888888888888,0.41666666666666674,0.5689655172413792,0.5416666666666667,0.1944423355342873,0.06447159364501574,-0.12071278831071722,versicolor
128,6.4,2.8,5.6,2.1,0.5833333333333335,0.33333333333333326,0.7758620689655171,0.8333333333333335,0.5035174240604086,-0.048269315803672816,0.049743652860404206,virginica
34,4.9,3.1,1.5,0.1,0.16666666666666674,0.45833333333333326,0.06896551724137928,0.0,-0.6676413553791682,-0.07291425066634051,-0.05461816178383573,setosa
37,4.9,3.1,1.5,0.1,0.16666666666666674,0.45833333333333326,0.06896551724137928,0.0,-0.6676413553791682,-0.07291425066634051,-0.05461816178383573,setosa
76,6.8,2.8,4.8,1.4,0.6944444444444444,0.33333333333333326,0.6379310344827585,0.5416666666666667,0.27266445813373014,0.009586609770443537,-0.19456768056507964,versicolor
50,7.0,3.2,4.7,1.4,0.75,0.5,0.6206896551724137,0.5416666666666667,0.2589410051446657,0.18442702648958245,-0.17546659977534665,versicolor
127,6.1,3.0,4.9,1.8,0.4999999999999998,0.41666666666666674,0.6551724137931034,0.7083333333333334,0.300383173161544,-0.0023308289707863372,0.07250638799081172,virginica
80,5.5,2.4,3.8,1.1,0.33333333333333326,0.16666666666666663,0.4655172413793102,0.4166666666666667,-0.03703650981992233,-0.28704184932051524,-0.05507125036056009,versicolor
69,5.6,2.5,3.9,1.1,0.36111111111111094,0.20833333333333326,0.4827586206896551,0.4166666666666667,-0.0214183929212658,-0.23870753446234805,-0.061860312396699486,versicolor
112,6.8,3.0,5.5,2.1,0.6944444444444444,0.41666666666666674,0.7586206896551724,0.8333333333333335,0.5250826089001615,0.07647607745559576,7.148293771531934e-05,virginica
120,6.9,3.2,5.7,2.3,0.7222222222222223,0.5,0.7931034482758621,0.9166666666666666,0.5993526319947688,0.16110044104714863,0.056350015224764245,virginica
118,7.7,2.6,6.9,2.3,0.9444444444444442,0.25,1.0,0.9166666666666666,0.8565480644135062,0.020929782655339797,-0.2051199385451881,virginica
26,5.0,3.4,1.6,0.4,0.19444444444444442,0.5833333333333333,0.08620689655172414,0.125,-0.5833353292776722,0.05029620162036278,0.0423167766694246,setosa
124,6.7,3.3,5.7,2.1,0.6666666666666667,0.5416666666666665,0.7931034482758621,0.8333333333333335,0.516145459162657,0.17370792566995782,0.060785261228512674,virginica
30,4.8,3.1,1.6,0.2,0.13888888888888884,0.45833333333333326,0.08620689655172414,0.04166666666666667,-0.641023355692967,-0.08625494714038376,-0.01098392473794033,setosa
23,5.1,3.3,1.7,0.5,0.2222222222222221,0.5416666666666665,0.10344827586206895,0.16666666666666669,-0.5278084783668578,0.024150140032338095,0.031611749855676254,setosa
143,6.8,3.2,5.9,2.3,0.6944444444444444,0.5,0.8275862068965516,0.9166666666666666,0.6095548420698769,0.1464633142238439,0.07376183295722688,virginica
116,6.5,3.0,5.5,1.8,0.6111111111111112,0.41666666666666674,0.7586206896551724,0.7083333333333334,0.40984152955830006,0.03945281687097631,-0.014926628335829762,virginica
53,5.5,2.3,4.0,1.3,0.33333333333333326,0.12499999999999989,0.49999999999999994,0.5000000000000001,0.04510834077709342,-0.32652860738258316,-0.022142040128413185,versicolor
38,4.4,3.0,1.3,0.2,0.0277777777777779,0.41666666666666674,0.03448275862068964,0.04166666666666667,-0.7119018119075495,-0.16892072163906133,0.05820387357946737,setosa
47,4.6,3.2,1.4,0.2,0.08333333333333326,0.5,0.05172413793103445,0.04166666666666667,-0.6913989493028929,-0.07105460181905145,0.04589615989267364,setosa
